submitted_item,document_section,repository_path,status
Table 1,Main manuscript,results/main/tables/group_summary.csv,script-generated
Table 2,Main manuscript,results/main/tables/descriptive_statistics.csv,script-generated
Table 3,Main manuscript,results/main/tables/kw_shot_exploratory.csv; results/main/tables/kw_polygon_bootstrap.csv,script-generated
Table 4,Main manuscript,results/main/tables/dunn_polygon_bootstrap.csv,script-generated
Table 5,Main manuscript,results/main/tables/lmm_anova.csv,script-generated
Table 6,Main manuscript,results/main/tables/moran_i.csv,script-generated
Figure 1,Main manuscript,manuscript_assets/figures/figure_01_atlantic_forest_extent_old_growth_candidates.png,static asset
Figure 2,Main manuscript,manuscript_assets/figures/figure_02_study_area_phytophysiognomies.png,static asset
Figure 3,Main manuscript,manuscript_assets/figures/figure_03_sampling_distribution_old_growth_forests.png,static asset
Figure 4,Main manuscript,manuscript_assets/figures/figure_04_visual_interpretation_key.png,static asset
Figure 5,Main manuscript,manuscript_assets/figures/figure_05_gedi_sampling_within_physiognomies.png,static asset
Figure 6,Main manuscript,manuscript_assets/figures/figure_06_research_flowchart.png,static asset
Figure 7,Main manuscript,results/figures/figure_07_boxplots_by_physiognomy.png,script-generated
Fig. S1,Supplementary Information,results/supplementary/figures/figure_s1_polygon_spearman_heatmap.png,script-generated
Fig. S2,Supplementary Information,results/supplementary/figures/figure_s2_qc_delta_epsilon2.png,script-generated
Table S1a,Supplementary Information,results/supplementary/tables/s1a_polygon_collinearity_baseline.csv,script-generated
Table S1b,Supplementary Information,results/supplementary/tables/s1b_collinearity_stability.csv,script-generated
Table S2a,Supplementary Information,results/supplementary/tables/s2a_qc_scenario_sample_size.csv,script-generated
Table S2b,Supplementary Information,results/supplementary/tables/s2b_scenario_definitions_redundancy.csv,script-generated
Table S3a,Supplementary Information,results/supplementary/tables/s3a_kw_by_scenario.csv,script-generated
Table S3b,Supplementary Information,results/supplementary/tables/s3b_delta_eps2_summary.csv,script-generated
Table S4,Supplementary Information,results/supplementary/tables/s4_pairwise_robustness.csv,script-generated
Complete scenario-wise outputs workbook,Repository outputs,results/supplementary/Supplementary_Data_Bandoria_et_al_2026.xlsx,script-generated
