physiognomy,physiognomy_name,physiognomy_raw,metric,metric_label,metric_raw,n,mean,sd,p25,median,p75,min,max
DOF,Dense Ombrophilous Forest (DOF),FOD,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,12402,138.13823854189317,112.09872674821071,65.7495326975,113.94248965,180.6503487,0,992.6376343
DOF,Dense Ombrophilous Forest (DOF),FOD,H,"Canopy height (H, m)",altura_dossel,12440,23.75684548039341,9.204136152994545,18.088575536750074,23.044311524999994,28.657012822499972,0.26153560000011566,116.73455810000007
DOF,Dense Ombrophilous Forest (DOF),FOD,COVER,"Canopy cover (COVER, %)",cover,12440,73.57764447465435,21.37293449181085,66.71339569999998,81.7461282,88.31671324999999,0.11694799999999998,97.91179299999999
DOF,Dense Ombrophilous Forest (DOF),FOD,FHD,Foliage height diversity (FHD),fhd_normal,12440,2.8684106659057074,0.38369604509490185,2.7075864077500005,2.9408662319999994,3.1320869327499996,0.6365141869999998,3.3797287939999996
DOF,Dense Ombrophilous Forest (DOF),FOD,PAI,"Plant area index (PAI, m^2 m^-2)",pai,12440,3.206702026720659,1.4285666720148682,2.20351249,3.4140369889999995,4.31632268425,0.0023403359999999997,7.739168167000001
MOF,Mixed Ombrophilous Forest (MOF),FOM,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,12422,98.33000592583424,91.91099073358616,40.93797970000001,77.575767515,125.22405245000002,0,997.1940308000001
MOF,Mixed Ombrophilous Forest (MOF),FOM,H,"Canopy height (H, m)",altura_dossel,12439,21.537687079668785,6.745865728779587,17.534027049999963,21.06658940000011,24.909423850000053,2.059569999999894,106.25158699999997
MOF,Mixed Ombrophilous Forest (MOF),FOM,COVER,"Canopy cover (COVER, %)",cover,12440,63.77941333114148,23.478654482963364,48.273596950000005,70.01856565,83.430880275,0.0941,97.9754686
MOF,Mixed Ombrophilous Forest (MOF),FOM,FHD,Foliage height diversity (FHD),fhd_normal,12440,2.809100584976286,0.3340645637478891,2.669601023,2.8586264849999994,3.01960694775,0.6365141869999998,3.3743281359999995
MOF,Mixed Ombrophilous Forest (MOF),FOM,PAI,"Plant area index (PAI, m^2 m^-2)",pai,12440,2.4958503288648712,1.4166162998575225,1.3204358217499998,2.4131278995,3.60953956875,0.0018833069999999999,7.998937606999999
SSdF,Seasonal Semideciduous Forest (SSdF),FES,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,12434,74.82570582115272,75.80901172414795,25.0260372125,58.649082185000005,101.734518025,0,960.6293945000001
SSdF,Seasonal Semideciduous Forest (SSdF),FES,H,"Canopy height (H, m)",altura_dossel,12440,19.168225373568486,6.468278689631332,14.932937575000182,19.348297050000014,23.261875199999956,3.0235137999999893,96.30935670000008
SSdF,Seasonal Semideciduous Forest (SSdF),FES,COVER,"Canopy cover (COVER, %)",cover,12440,61.63693683254823,24.881826649205728,46.2713942,69.06884310000001,81.60046187500001,0.11754230000000002,97.9018033
SSdF,Seasonal Semideciduous Forest (SSdF),FES,FHD,Foliage height diversity (FHD),fhd_normal,12440,2.6835912970135047,0.40565922328219456,2.5036506652500004,2.7657196525000005,2.9600145222499994,0.6365141869999998,3.370740652
SSdF,Seasonal Semideciduous Forest (SSdF),FES,PAI,"Plant area index (PAI, m^2 m^-2)",pai,12440,2.3638359007079583,1.378266582581941,1.2439446445,2.3506278994999996,3.394168734749999,0.00235223,7.734641552
SDF,Seasonal Deciduous Forest (SDF),FED,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,12402,107.88955088485534,102.45295287561592,47.646883967499996,84.42743301500002,132.900279975,0,997.2301025
SDF,Seasonal Deciduous Forest (SDF),FED,H,"Canopy height (H, m)",altura_dossel,12440,22.798027868424434,7.130234081103995,18.827735849999996,22.09026335,25.678611750000016,3.708404499999972,110.51101680000005
SDF,Seasonal Deciduous Forest (SDF),FED,COVER,"Canopy cover (COVER, %)",cover,12440,65.21573690997589,21.45760241313922,50.86629240000001,70.18488344999999,83.203314275,0.2802088,98.1373906
SDF,Seasonal Deciduous Forest (SDF),FED,FHD,Foliage height diversity (FHD),fhd_normal,12440,2.881551867152492,0.2578370503461283,2.7427232265000003,2.911823391999999,3.0567581652499998,0.6365141869999998,3.3737654689999994
SDF,Seasonal Deciduous Forest (SDF),FED,PAI,"Plant area index (PAI, m^2 m^-2)",pai,12440,2.5381959249319133,1.3643971987631323,1.4215769172499997,2.423807621,3.5771619080000003,0.0056120860000000005,8.154579163
