comparison,comparison_raw,metric,metric_label,metric_raw,p_adjustment,significance_frequency,median_effect_size_r,effect_size_r_ci95_lower,effect_size_r_ci95_upper,n_bootstrap_replicates
SSdF–DOF,FES - FOD,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,Bonferroni,0.979,0.4344049417476066,0.252670875276186,0.6144099654102639,2000
SSdF–DOF,FES - FOD,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,FDR,0.9925,0.4344049417476066,0.252670875276186,0.6144099654102639,2000
SDF–SSdF,FED - FES,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,Bonferroni,0.925,0.3762246925327071,0.20079467309785065,0.5310300086168052,2000
SDF–SSdF,FED - FES,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,FDR,0.9735,0.3762246925327071,0.20079467309785065,0.5310300086168052,2000
DOF–MOF,FOD - FOM,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,Bonferroni,0.8985,0.35740558701616953,0.18574585252785986,0.5319620751991462,2000
DOF–MOF,FOD - FOM,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,FDR,0.96,0.35740558701616953,0.18574585252785986,0.5319620751991462,2000
SDF–MOF,FED - FOM,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,Bonferroni,0.7325,0.29809250592004233,0.1515889079608563,0.4423541507882849,2000
SDF–MOF,FED - FOM,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,FDR,0.898,0.29809250592004233,0.1515889079608563,0.4423541507882849,2000
SSdF–MOF,FES - FOM,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,Bonferroni,0.023,0.08251910033264183,0.003853346336169852,0.24313503265862707,2000
SSdF–MOF,FES - FOM,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,FDR,0.0765,0.08251910033264183,0.003853346336169852,0.24313503265862707,2000
SDF–DOF,FED - FOD,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,Bonferroni,0.019,0.07620201263043022,0.004920587856800075,0.23937807740510683,2000
SDF–DOF,FED - FOD,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,FDR,0.073,0.07620201263043022,0.004920587856800075,0.23937807740510683,2000
SDF–SSdF,FED - FES,H,"Canopy height (H, m)",altura_dossel,Bonferroni,0.991,0.4530229598153288,0.2796670721929905,0.6020424226125134,2000
SDF–SSdF,FED - FES,H,"Canopy height (H, m)",altura_dossel,FDR,0.997,0.4530229598153288,0.2796670721929905,0.6020424226125134,2000
SSdF–DOF,FES - FOD,H,"Canopy height (H, m)",altura_dossel,Bonferroni,0.946,0.39696764519991057,0.2091828061439717,0.5711884765135333,2000
SSdF–DOF,FES - FOD,H,"Canopy height (H, m)",altura_dossel,FDR,0.9785,0.39696764519991057,0.2091828061439717,0.5711884765135333,2000
SDF–MOF,FED - FOM,H,"Canopy height (H, m)",altura_dossel,Bonferroni,0.841,0.3216978682701428,0.1692612986317234,0.46655986594421395,2000
SDF–MOF,FED - FOM,H,"Canopy height (H, m)",altura_dossel,FDR,0.942,0.3216978682701428,0.1692612986317234,0.46655986594421395,2000
DOF–MOF,FOD - FOM,H,"Canopy height (H, m)",altura_dossel,Bonferroni,0.595,0.26856931509456833,0.09611036849266641,0.44326228898764947,2000
DOF–MOF,FOD - FOM,H,"Canopy height (H, m)",altura_dossel,FDR,0.789,0.26856931509456833,0.09611036849266641,0.44326228898764947,2000
