polygon_id,n_before,n_after,n_removed,lost_all_shots_after_filter
1,105,87,18,FALSE
10,20,10,10,FALSE
100,172,148,24,FALSE
101,477,443,34,FALSE
102,3872,3741,131,FALSE
103,264,227,37,FALSE
104,447,384,63,FALSE
105,231,207,24,FALSE
106,205,165,40,FALSE
107,200,172,28,FALSE
108,1052,981,71,FALSE
109,680,627,53,FALSE
11,8,2,6,FALSE
110,273,245,28,FALSE
111,5353,5215,138,FALSE
112,1646,1584,62,FALSE
113,135,98,37,FALSE
114,38,26,12,FALSE
115,16,5,11,FALSE
116,37,20,17,FALSE
117,36,24,12,FALSE
118,15726,15372,354,FALSE
119,3488,3350,138,FALSE
120,2860,2746,114,FALSE
121,660,620,40,FALSE
122,201,172,29,FALSE
123,176,150,26,FALSE
124,48,38,10,FALSE
125,18,14,4,FALSE
126,18,14,4,FALSE
127,26,20,6,FALSE
129,33,25,8,FALSE
13,8,5,3,FALSE
130,85,74,11,FALSE
131,19,16,3,FALSE
132,141,113,28,FALSE
133,102,91,11,FALSE
134,91,69,22,FALSE
135,58,49,9,FALSE
136,81,57,24,FALSE
137,60,43,17,FALSE
138,12,8,4,FALSE
139,1,0,1,TRUE
140,3,0,3,TRUE
141,11,0,11,TRUE
142,9,3,6,FALSE
143,4,0,4,TRUE
144,332,284,48,FALSE
145,77,55,22,FALSE
146,87,69,18,FALSE
147,153,127,26,FALSE
148,500,450,50,FALSE
149,98,87,11,FALSE
15,2,0,2,TRUE
150,27,9,18,FALSE
151,60,45,15,FALSE
152,27,12,15,FALSE
153,53,39,14,FALSE
154,25,10,15,FALSE
155,38,28,10,FALSE
156,11,9,2,FALSE
157,31,24,7,FALSE
158,24,13,11,FALSE
159,35,17,18,FALSE
16,2,0,2,TRUE
160,23,11,12,FALSE
161,17,10,7,FALSE
162,86,60,26,FALSE
163,39,25,14,FALSE
164,93,79,14,FALSE
165,25,12,13,FALSE
166,44,24,20,FALSE
167,43,28,15,FALSE
168,24,11,13,FALSE
169,7,2,5,FALSE
170,44,22,22,FALSE
171,22,14,8,FALSE
172,557,512,45,FALSE
173,64,47,17,FALSE
174,63,49,14,FALSE
175,112,85,27,FALSE
176,42,18,24,FALSE
177,58,48,10,FALSE
178,270,238,32,FALSE
179,219,198,21,FALSE
18,9,1,8,FALSE
180,262,234,28,FALSE
181,70,56,14,FALSE
182,24,16,8,FALSE
183,133,98,35,FALSE
184,1737,1642,95,FALSE
185,1537,1453,84,FALSE
186,1524,1366,158,FALSE
187,908,845,63,FALSE
188,306,287,19,FALSE
189,336,312,24,FALSE
19,2,0,2,TRUE
190,19,14,5,FALSE
191,39,34,5,FALSE
192,62,56,6,FALSE
193,335,300,35,FALSE
194,59,53,6,FALSE
195,147,131,16,FALSE
196,199,190,9,FALSE
197,25,19,6,FALSE
198,20,12,8,FALSE
199,14,11,3,FALSE
20,279,244,35,FALSE
200,66,58,8,FALSE
201,153,134,19,FALSE
203,116,104,12,FALSE
204,492,454,38,FALSE
205,285,269,16,FALSE
206,372,315,57,FALSE
207,77,59,18,FALSE
208,81,61,20,FALSE
209,928,857,71,FALSE
21,67,55,12,FALSE
210,20354,20024,330,FALSE
211,725,644,81,FALSE
212,266,231,35,FALSE
213,156,129,27,FALSE
214,268,201,67,FALSE
215,42,27,15,FALSE
216,50,32,18,FALSE
217,21,11,10,FALSE
218,6,1,5,FALSE
219,39,21,18,FALSE
22,36,19,17,FALSE
220,8,4,4,FALSE
221,7,2,5,FALSE
222,49,29,20,FALSE
224,1,0,1,TRUE
226,2,1,1,FALSE
227,57,33,24,FALSE
228,22,17,5,FALSE
229,58,48,10,FALSE
23,70,54,16,FALSE
230,27,8,19,FALSE
231,27,13,14,FALSE
232,72,47,25,FALSE
233,41,21,20,FALSE
234,39,26,13,FALSE
235,15,6,9,FALSE
236,15,10,5,FALSE
237,27,20,7,FALSE
238,28,10,18,FALSE
239,19,8,11,FALSE
24,23,11,12,FALSE
240,1,1,0,FALSE
241,16,6,10,FALSE
242,30,12,18,FALSE
243,2,0,2,TRUE
244,608,567,41,FALSE
245,6184,5886,298,FALSE
246,1031,922,109,FALSE
247,437,385,52,FALSE
248,458,406,52,FALSE
249,2295,2158,137,FALSE
25,141,118,23,FALSE
250,113,81,32,FALSE
251,27,19,8,FALSE
252,200,159,41,FALSE
253,65,48,17,FALSE
254,36,26,10,FALSE
255,82,54,28,FALSE
256,67,54,13,FALSE
257,31,17,14,FALSE
258,10,7,3,FALSE
259,110,77,33,FALSE
26,35,24,11,FALSE
260,148,131,17,FALSE
261,84,56,28,FALSE
262,61,52,9,FALSE
263,69,46,23,FALSE
264,100,83,17,FALSE
265,7,6,1,FALSE
266,2,0,2,TRUE
267,98,70,28,FALSE
268,76,67,9,FALSE
269,41,25,16,FALSE
27,46,23,23,FALSE
270,194,170,24,FALSE
271,19,16,3,FALSE
272,22,16,6,FALSE
273,9,1,8,FALSE
274,53,43,10,FALSE
275,231,177,54,FALSE
276,269,228,41,FALSE
277,77,61,16,FALSE
278,39,21,18,FALSE
279,58,36,22,FALSE
28,13,4,9,FALSE
280,6,2,4,FALSE
281,24,23,1,FALSE
282,85,72,13,FALSE
283,21,12,9,FALSE
284,12,6,6,FALSE
285,12,8,4,FALSE
286,11,6,5,FALSE
287,109,68,41,FALSE
288,98,71,27,FALSE
289,167,146,21,FALSE
29,359,301,58,FALSE
290,24,18,6,FALSE
291,102,84,18,FALSE
292,28,20,8,FALSE
293,429,376,53,FALSE
294,5682,5421,261,FALSE
295,450,390,60,FALSE
296,385,333,52,FALSE
297,93,78,15,FALSE
298,157,120,37,FALSE
299,136,112,24,FALSE
3,1,0,1,TRUE
30,403,358,45,FALSE
300,137,120,17,FALSE
301,87,70,17,FALSE
302,63,55,8,FALSE
303,129,105,24,FALSE
304,108,81,27,FALSE
305,35,23,12,FALSE
306,688,635,53,FALSE
307,897,806,91,FALSE
308,1405,1295,110,FALSE
309,160,135,25,FALSE
31,217,160,57,FALSE
310,11,8,3,FALSE
311,171,143,28,FALSE
312,236,211,25,FALSE
313,73,59,14,FALSE
314,140,88,52,FALSE
