comparison,comparison_raw,metric,metric_label,metric_raw,p_adjustment,significance_frequency,median_effect_size_r,effect_size_r_ci95_lower,effect_size_r_ci95_upper,n_bootstrap_replicates
SSdF–DOF,FES - FOD,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,Bonferroni,0.979,0.4344049417476066,0.252670875276186,0.6144099654102639,2000
SSdF–DOF,FES - FOD,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,FDR,0.9925,0.4344049417476066,0.252670875276186,0.6144099654102639,2000
SDF–SSdF,FED - FES,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",agbd,Bonferroni,0.925,0.3762246925327071,0.20079467309785065,0.5310300086168052,2000
SDF–SSdF,FED - FES,H,"Canopy height (H, m)",altura_dossel,Bonferroni,0.991,0.4530229598153288,0.2796670721929905,0.6020424226125134,2000
SDF–SSdF,FED - FES,H,"Canopy height (H, m)",altura_dossel,FDR,0.997,0.4530229598153288,0.2796670721929905,0.6020424226125134,2000
SSdF–DOF,FES - FOD,H,"Canopy height (H, m)",altura_dossel,Bonferroni,0.946,0.39696764519991057,0.2091828061439717,0.5711884765135333,2000
SSdF–DOF,FES - FOD,COVER,"Canopy cover (COVER, %)",cover,Bonferroni,0.973,0.4306805180267184,0.24523129827510307,0.6138736913668467,2000
SSdF–DOF,FES - FOD,COVER,"Canopy cover (COVER, %)",cover,FDR,0.986,0.4306805180267184,0.24523129827510307,0.6138736913668467,2000
SDF–DOF,FED - FOD,COVER,"Canopy cover (COVER, %)",cover,Bonferroni,0.905,0.3525511635599025,0.18604331413735506,0.51414364453568,2000
SDF–SSdF,FED - FES,FHD,Foliage height diversity (FHD),fhd_normal,Bonferroni,0.9855,0.4403240734316115,0.269156751732269,0.5888759931571067,2000
SDF–SSdF,FED - FES,FHD,Foliage height diversity (FHD),fhd_normal,FDR,0.9945,0.4403240734316115,0.269156751732269,0.5888759931571067,2000
SSdF–DOF,FES - FOD,FHD,Foliage height diversity (FHD),fhd_normal,Bonferroni,0.934,0.3875946762516129,0.19774549924172066,0.560282591438621,2000
SSdF–DOF,FES - FOD,PAI,"Plant area index (PAI, m^2 m^-2)",pai,Bonferroni,0.96,0.42070756191777203,0.23098021228096866,0.5996581912853496,2000
SSdF–DOF,FES - FOD,PAI,"Plant area index (PAI, m^2 m^-2)",pai,FDR,0.9755,0.42070756191777203,0.23098021228096866,0.5996581912853496,2000
SDF–DOF,FED - FOD,PAI,"Plant area index (PAI, m^2 m^-2)",pai,Bonferroni,0.9145,0.3576714273059418,0.1913187777601106,0.5202562388988673,2000
