var_row,var_col,rho,tag
altura_dossel,altura_dossel,1,S0_no_qc_polygon
agbd,altura_dossel,0.91696646387872,S0_no_qc_polygon
pai,altura_dossel,0.5899951691625993,S0_no_qc_polygon
cover,altura_dossel,0.5899810959739766,S0_no_qc_polygon
fhd_normal,altura_dossel,0.9834473453083723,S0_no_qc_polygon
altura_dossel,agbd,0.91696646387872,S0_no_qc_polygon
agbd,agbd,1,S0_no_qc_polygon
pai,agbd,0.6744190788782118,S0_no_qc_polygon
cover,agbd,0.6745598107644384,S0_no_qc_polygon
fhd_normal,agbd,0.9118495673786935,S0_no_qc_polygon
altura_dossel,pai,0.5899951691625993,S0_no_qc_polygon
agbd,pai,0.6744190788782118,S0_no_qc_polygon
pai,pai,1,S0_no_qc_polygon
cover,pai,0.9988761553657047,S0_no_qc_polygon
fhd_normal,pai,0.5946556922601484,S0_no_qc_polygon
altura_dossel,cover,0.5899810959739766,S0_no_qc_polygon
agbd,cover,0.6745598107644384,S0_no_qc_polygon
pai,cover,0.9988761553657047,S0_no_qc_polygon
cover,cover,1,S0_no_qc_polygon
fhd_normal,cover,0.5956123818785581,S0_no_qc_polygon
altura_dossel,fhd_normal,0.9834473453083723,S0_no_qc_polygon
agbd,fhd_normal,0.9118495673786935,S0_no_qc_polygon
pai,fhd_normal,0.5946556922601484,S0_no_qc_polygon
cover,fhd_normal,0.5956123818785581,S0_no_qc_polygon
fhd_normal,fhd_normal,1,S0_no_qc_polygon
altura_dossel,altura_dossel,1,S1_baseline_polygon
agbd,altura_dossel,0.9074255151314159,S1_baseline_polygon
pai,altura_dossel,0.5438143506471008,S1_baseline_polygon
cover,altura_dossel,0.5432893683127562,S1_baseline_polygon
fhd_normal,altura_dossel,0.9810076390929445,S1_baseline_polygon
altura_dossel,agbd,0.9074255151314159,S1_baseline_polygon
agbd,agbd,1,S1_baseline_polygon
pai,agbd,0.6352074752684572,S1_baseline_polygon
cover,agbd,0.6348933858375666,S1_baseline_polygon
fhd_normal,agbd,0.9091735563098302,S1_baseline_polygon
altura_dossel,pai,0.5438143506471008,S1_baseline_polygon
agbd,pai,0.6352074752684572,S1_baseline_polygon
pai,pai,1,S1_baseline_polygon
cover,pai,0.9989953338070174,S1_baseline_polygon
fhd_normal,pai,0.5530306405189466,S1_baseline_polygon
altura_dossel,cover,0.5432893683127562,S1_baseline_polygon
agbd,cover,0.6348933858375666,S1_baseline_polygon
pai,cover,0.9989953338070174,S1_baseline_polygon
cover,cover,1,S1_baseline_polygon
fhd_normal,cover,0.5532988314943202,S1_baseline_polygon
altura_dossel,fhd_normal,0.9810076390929445,S1_baseline_polygon
agbd,fhd_normal,0.9091735563098302,S1_baseline_polygon
pai,fhd_normal,0.5530306405189466,S1_baseline_polygon
cover,fhd_normal,0.5532988314943202,S1_baseline_polygon
fhd_normal,fhd_normal,1,S1_baseline_polygon
altura_dossel,altura_dossel,1,S1_baseline_shot
agbd,altura_dossel,0.8113838826762051,S1_baseline_shot
pai,altura_dossel,0.5550128987852546,S1_baseline_shot
cover,altura_dossel,0.555064474373097,S1_baseline_shot
fhd_normal,altura_dossel,0.9350096970713504,S1_baseline_shot
altura_dossel,agbd,0.8113838826762051,S1_baseline_shot
agbd,agbd,1,S1_baseline_shot
pai,agbd,0.5565628871428357,S1_baseline_shot
cover,agbd,0.5565238193155346,S1_baseline_shot
fhd_normal,agbd,0.7865500304754481,S1_baseline_shot
altura_dossel,pai,0.5550128987852546,S1_baseline_shot
agbd,pai,0.5565628871428357,S1_baseline_shot
pai,pai,1,S1_baseline_shot
cover,pai,0.9999489883591554,S1_baseline_shot
fhd_normal,pai,0.5388170420249049,S1_baseline_shot
altura_dossel,cover,0.555064474373097,S1_baseline_shot
agbd,cover,0.5565238193155346,S1_baseline_shot
pai,cover,0.9999489883591554,S1_baseline_shot
cover,cover,1,S1_baseline_shot
fhd_normal,cover,0.5387894876817453,S1_baseline_shot
altura_dossel,fhd_normal,0.9350096970713504,S1_baseline_shot
agbd,fhd_normal,0.7865500304754481,S1_baseline_shot
pai,fhd_normal,0.5388170420249049,S1_baseline_shot
cover,fhd_normal,0.5387894876817453,S1_baseline_shot
fhd_normal,fhd_normal,1,S1_baseline_shot
altura_dossel,altura_dossel,1,S_sens080_polygon
agbd,altura_dossel,0.9074255151314159,S_sens080_polygon
pai,altura_dossel,0.5438143506471008,S_sens080_polygon
cover,altura_dossel,0.5432893683127562,S_sens080_polygon
fhd_normal,altura_dossel,0.9810076390929445,S_sens080_polygon
altura_dossel,agbd,0.9074255151314159,S_sens080_polygon
agbd,agbd,1,S_sens080_polygon
pai,agbd,0.6352074752684572,S_sens080_polygon
cover,agbd,0.6348933858375666,S_sens080_polygon
fhd_normal,agbd,0.9091735563098302,S_sens080_polygon
altura_dossel,pai,0.5438143506471008,S_sens080_polygon
agbd,pai,0.6352074752684572,S_sens080_polygon
pai,pai,1,S_sens080_polygon
cover,pai,0.9989953338070174,S_sens080_polygon
fhd_normal,pai,0.5530306405189466,S_sens080_polygon
altura_dossel,cover,0.5432893683127562,S_sens080_polygon
agbd,cover,0.6348933858375666,S_sens080_polygon
pai,cover,0.9989953338070174,S_sens080_polygon
cover,cover,1,S_sens080_polygon
fhd_normal,cover,0.5532988314943202,S_sens080_polygon
altura_dossel,fhd_normal,0.9810076390929445,S_sens080_polygon
agbd,fhd_normal,0.9091735563098302,S_sens080_polygon
pai,fhd_normal,0.5530306405189466,S_sens080_polygon
cover,fhd_normal,0.5532988314943202,S_sens080_polygon
fhd_normal,fhd_normal,1,S_sens080_polygon
altura_dossel,altura_dossel,1,S_sens090_polygon
agbd,altura_dossel,0.9074255151314159,S_sens090_polygon
pai,altura_dossel,0.5438143506471008,S_sens090_polygon
cover,altura_dossel,0.5432893683127562,S_sens090_polygon
fhd_normal,altura_dossel,0.9810076390929445,S_sens090_polygon
altura_dossel,agbd,0.9074255151314159,S_sens090_polygon
agbd,agbd,1,S_sens090_polygon
pai,agbd,0.6352074752684572,S_sens090_polygon
cover,agbd,0.6348933858375666,S_sens090_polygon
fhd_normal,agbd,0.9091735563098302,S_sens090_polygon
altura_dossel,pai,0.5438143506471008,S_sens090_polygon
agbd,pai,0.6352074752684572,S_sens090_polygon
pai,pai,1,S_sens090_polygon
cover,pai,0.9989953338070174,S_sens090_polygon
fhd_normal,pai,0.5530306405189466,S_sens090_polygon
altura_dossel,cover,0.5432893683127562,S_sens090_polygon
agbd,cover,0.6348933858375666,S_sens090_polygon
pai,cover,0.9989953338070174,S_sens090_polygon
cover,cover,1,S_sens090_polygon
fhd_normal,cover,0.5532988314943202,S_sens090_polygon
altura_dossel,fhd_normal,0.9810076390929445,S_sens090_polygon
agbd,fhd_normal,0.9091735563098302,S_sens090_polygon
pai,fhd_normal,0.5530306405189466,S_sens090_polygon
cover,fhd_normal,0.5532988314943202,S_sens090_polygon
fhd_normal,fhd_normal,1,S_sens090_polygon
altura_dossel,altura_dossel,1,S_sens095_polygon
agbd,altura_dossel,0.9171103892354022,S_sens095_polygon
pai,altura_dossel,0.5576846839103864,S_sens095_polygon
cover,altura_dossel,0.557918376046646,S_sens095_polygon
fhd_normal,altura_dossel,0.979554487991479,S_sens095_polygon
altura_dossel,agbd,0.9171103892354022,S_sens095_polygon
agbd,agbd,1,S_sens095_polygon
pai,agbd,0.6389879480555479,S_sens095_polygon
cover,agbd,0.6390938444921328,S_sens095_polygon
fhd_normal,agbd,0.9140804911914714,S_sens095_polygon
altura_dossel,pai,0.5576846839103864,S_sens095_polygon
agbd,pai,0.6389879480555479,S_sens095_polygon
pai,pai,1,S_sens095_polygon
cover,pai,0.9989608349679033,S_sens095_polygon
fhd_normal,pai,0.5685503182817898,S_sens095_polygon
altura_dossel,cover,0.557918376046646,S_sens095_polygon
agbd,cover,0.6390938444921328,S_sens095_polygon
pai,cover,0.9989608349679033,S_sens095_polygon
cover,cover,1,S_sens095_polygon
fhd_normal,cover,0.5696920798615127,S_sens095_polygon
altura_dossel,fhd_normal,0.979554487991479,S_sens095_polygon
agbd,fhd_normal,0.9140804911914714,S_sens095_polygon
pai,fhd_normal,0.5685503182817898,S_sens095_polygon
cover,fhd_normal,0.5696920798615127,S_sens095_polygon
fhd_normal,fhd_normal,1,S_sens095_polygon
altura_dossel,altura_dossel,1,S_sens099_polygon
agbd,altura_dossel,0.8732394702678319,S_sens099_polygon
pai,altura_dossel,0.5957214345553405,S_sens099_polygon
cover,altura_dossel,0.6009302821903756,S_sens099_polygon
fhd_normal,altura_dossel,0.9586174933187229,S_sens099_polygon
altura_dossel,agbd,0.8732394702678319,S_sens099_polygon
agbd,agbd,1,S_sens099_polygon
pai,agbd,0.5353093405901093,S_sens099_polygon
cover,agbd,0.5460527402896111,S_sens099_polygon
fhd_normal,agbd,0.8329590875237647,S_sens099_polygon
altura_dossel,pai,0.5957214345553405,S_sens099_polygon
agbd,pai,0.5353093405901093,S_sens099_polygon
pai,pai,1,S_sens099_polygon
cover,pai,0.9932574051481665,S_sens099_polygon
fhd_normal,pai,0.5752889911033103,S_sens099_polygon
altura_dossel,cover,0.6009302821903756,S_sens099_polygon
agbd,cover,0.5460527402896111,S_sens099_polygon
pai,cover,0.9932574051481665,S_sens099_polygon
cover,cover,1,S_sens099_polygon
fhd_normal,cover,0.5872014130223578,S_sens099_polygon
altura_dossel,fhd_normal,0.9586174933187229,S_sens099_polygon
agbd,fhd_normal,0.8329590875237647,S_sens099_polygon
pai,fhd_normal,0.5752889911033103,S_sens099_polygon
cover,fhd_normal,0.5872014130223578,S_sens099_polygon
fhd_normal,fhd_normal,1,S_sens099_polygon
altura_dossel,altura_dossel,1,S_strong_beams_polygon
agbd,altura_dossel,0.9177723903553746,S_strong_beams_polygon
pai,altura_dossel,0.596082237131222,S_strong_beams_polygon
cover,altura_dossel,0.5994843699645505,S_strong_beams_polygon
fhd_normal,altura_dossel,0.9760997421849822,S_strong_beams_polygon
altura_dossel,agbd,0.9177723903553746,S_strong_beams_polygon
agbd,agbd,1,S_strong_beams_polygon
pai,agbd,0.637655274953857,S_strong_beams_polygon
cover,agbd,0.6432667799490229,S_strong_beams_polygon
fhd_normal,agbd,0.9134470307327219,S_strong_beams_polygon
altura_dossel,pai,0.596082237131222,S_strong_beams_polygon
agbd,pai,0.637655274953857,S_strong_beams_polygon
pai,pai,1,S_strong_beams_polygon
cover,pai,0.9963883924647702,S_strong_beams_polygon
fhd_normal,pai,0.614694723581285,S_strong_beams_polygon
