variavel,p_global_median,eps2_median,eps2_p025,eps2_p975,scenario,eps2_base,delta_eps2
agbd,5.19385028115921e-8,0.1506757468812326,0.06882198156674021,0.25332387171547155,S0_no_qc,0.15115329977542818,-4.7755289419559865e-4
altura_dossel,7.093243156394177e-8,0.14781853668878417,0.06233771862037313,0.23526242976321216,S0_no_qc,0.1485315097965748,-7.129731077906432e-4
cover,1.3414331820902936e-5,0.09951929085579353,0.026712034598202712,0.18829070309861806,S0_no_qc,0.08728501119974208,0.01223427965605145
fhd_normal,7.391976975063141e-8,0.14744272932935004,0.066011163632821,0.24243785959665864,S0_no_qc,0.14180902993047045,0.005633699398879588
pai,1.1806464460726625e-5,0.10070179580578362,0.027635400838536082,0.188847944597634,S0_no_qc,0.0873491584396828,0.013352637366100817
agbd,6.618186652099477e-8,0.15115329977542818,0.0706251364705862,0.25326202733023734,S1_baseline,0.15115329977542818,0
altura_dossel,8.763656063176423e-8,0.1485315097965748,0.06802792805495132,0.24836197684598954,S1_baseline,0.1485315097965748,0
cover,5.9193179689625905e-5,0.08728501119974208,0.020033916089812056,0.17044917652731395,S1_baseline,0.08728501119974208,0
fhd_normal,1.7994022639907037e-7,0.14180902993047045,0.06427756208879958,0.24157991079329524,S1_baseline,0.14180902993047045,0
pai,5.879484094749371e-5,0.0873491584396828,0.020352707300242582,0.171449496255071,S1_baseline,0.0873491584396828,0
agbd,3.488350456703616e-8,0.157131950275806,0.07469992050074184,0.2512230364142616,S_sens080,0.15115329977542818,0.0059786505003778245
altura_dossel,8.478477119401838e-8,0.14884047273039022,0.07297083836863437,0.23890340667249255,S_sens080,0.1485315097965748,3.0896293381540985e-4
cover,3.919313434273673e-5,0.09120144857898788,0.019106168331825858,0.17180821750363834,S_sens080,0.08728501119974208,0.003916437379245796
fhd_normal,1.382340418248946e-7,0.144277413660832,0.07209066129174446,0.23754815104101062,S_sens080,0.14180902993047045,0.0024683837303615397
pai,3.855823570969042e-5,0.0913476843432869,0.019816893254097613,0.17214472254314406,S_sens080,0.0873491584396828,0.003998525903604097
agbd,3.488350456703616e-8,0.157131950275806,0.07469992050074184,0.2512230364142616,S_sens090,0.15115329977542818,0.0059786505003778245
altura_dossel,8.478477119401838e-8,0.14884047273039022,0.07297083836863437,0.23890340667249255,S_sens090,0.1485315097965748,3.0896293381540985e-4
cover,3.919313434273673e-5,0.09120144857898788,0.019106168331825858,0.17180821750363834,S_sens090,0.08728501119974208,0.003916437379245796
fhd_normal,1.382340418248946e-7,0.144277413660832,0.07209066129174446,0.23754815104101062,S_sens090,0.14180902993047045,0.0024683837303615397
pai,3.855823570969042e-5,0.0913476843432869,0.019816893254097613,0.17214472254314406,S_sens090,0.0873491584396828,0.003998525903604097
agbd,2.211385431382297e-8,0.16137890608973496,0.0776203550557597,0.26332048913411943,S_sens095,0.15115329977542818,0.010225606314306773
altura_dossel,3.95332885373631e-8,0.1559616913069588,0.07739726463548575,0.24691391777971558,S_sens095,0.1485315097965748,0.007430181510383993
cover,6.513226229712248e-5,0.08637822149677521,0.016896056113357892,0.17195819004811846,S_sens095,0.08728501119974208,-9.067897029668703e-4
fhd_normal,1.0360699717539066e-7,0.14696799902525615,0.06961997704785639,0.23796851737216698,S_sens095,0.14180902993047045,0.0051589690947856925
pai,6.472932693773583e-5,0.08643787627406854,0.017413717186439373,0.172891392293952,S_sens095,0.0873491584396828,-9.112821656142578e-4
