variavel,comparacao,comparacao_en,ajuste,r_median,prop_sig,scenario,r_base,prop_sig_base,delta_r,delta_prop_sig
agbd,FED - FES,SDF–SSdF,Bonferroni,0.41312489241078765,0.964,S0_no_qc,0.42138406180621046,0.975,-0.008259169395422816,-0.01100000000000001
agbd,FED - FES,SDF–SSdF,FDR,0.41312489241078765,0.988,S0_no_qc,0.42138406180621046,0.995,-0.008259169395422816,-0.007000000000000006
agbd,FED - FOD,SDF–DOF,Bonferroni,0.06436606554118775,0.008,S0_no_qc,0.06275617077408308,0.001,0.001609894767104672,0.007
agbd,FED - FOD,SDF–DOF,FDR,0.06436606554118775,0.03,S0_no_qc,0.06275617077408308,0.032,0.001609894767104672,-0.0020000000000000018
agbd,FED - FOM,SDF–MOF,Bonferroni,0.33805346195398733,0.872,S0_no_qc,0.37033723321213174,0.9425,-0.03228377125814441,-0.07050000000000001
agbd,FED - FOM,SDF–MOF,FDR,0.33805346195398733,0.956,S0_no_qc,0.37033723321213174,0.987,-0.03228377125814441,-0.031000000000000028
agbd,FES - FOD,SSdF–DOF,Bonferroni,0.44504295913292047,0.976,S0_no_qc,0.41270166394012103,0.953,0.032341295192799435,0.02300000000000002
agbd,FES - FOD,SSdF–DOF,FDR,0.44504295913292047,0.994,S0_no_qc,0.41270166394012103,0.982,0.032341295192799435,0.01200000000000001
agbd,FES - FOM,SSdF–MOF,Bonferroni,0.08763869770294244,0.028,S0_no_qc,0.06874954340341091,0.013,0.01888915429953153,0.015000000000000001
agbd,FES - FOM,SSdF–MOF,FDR,0.08763869770294244,0.092,S0_no_qc,0.06874954340341091,0.05,0.01888915429953153,0.041999999999999996
agbd,FOD - FOM,DOF–MOF,Bonferroni,0.36252576759817723,0.916,S0_no_qc,0.36055607824965663,0.8885,0.001969689348520598,0.02750000000000008
agbd,FOD - FOM,DOF–MOF,FDR,0.36252576759817723,0.968,S0_no_qc,0.36055607824965663,0.9635,0.001969689348520598,0.0044999999999999485
altura_dossel,FED - FES,SDF–SSdF,Bonferroni,0.4849427958174988,0.994,S0_no_qc,0.48041868122876474,0.9965,0.0045241145887340295,-0.0025000000000000577
altura_dossel,FED - FES,SDF–SSdF,FDR,0.4849427958174988,0.998,S0_no_qc,0.48041868122876474,0.9985,0.0045241145887340295,-5.00000000000056e-4
altura_dossel,FED - FOD,SDF–DOF,Bonferroni,0.09209372928622123,0.066,S0_no_qc,0.1203461123801075,0.079,-0.02825238309388628,-0.012999999999999998
altura_dossel,FED - FOD,SDF–DOF,FDR,0.09209372928622123,0.132,S0_no_qc,0.1203461123801075,0.211,-0.02825238309388628,-0.07899999999999999
altura_dossel,FED - FOM,SDF–MOF,Bonferroni,0.3522843854447822,0.924,S0_no_qc,0.3828061108861761,0.951,-0.03052172544139392,-0.026999999999999913
altura_dossel,FED - FOM,SDF–MOF,FDR,0.3522843854447822,0.974,S0_no_qc,0.3828061108861761,0.9885,-0.03052172544139392,-0.014500000000000068
altura_dossel,FES - FOD,SSdF–DOF,Bonferroni,0.39736751377968094,0.914,S0_no_qc,0.3642756029796569,0.884,0.03309191080002405,0.030000000000000027
altura_dossel,FES - FOD,SSdF–DOF,FDR,0.39736751377968094,0.968,S0_no_qc,0.3642756029796569,0.95,0.03309191080002405,0.018000000000000016
altura_dossel,FES - FOM,SSdF–MOF,Bonferroni,0.13079368880723188,0.066,S0_no_qc,0.10036847401312013,0.0345,0.030425214794111755,0.0315
altura_dossel,FES - FOM,SSdF–MOF,FDR,0.13079368880723188,0.22,S0_no_qc,0.10036847401312013,0.1285,0.030425214794111755,0.0915
altura_dossel,FOD - FOM,DOF–MOF,Bonferroni,0.26457980891767174,0.58,S0_no_qc,0.26611181635441605,0.5705,-0.0015320074367443093,0.009499999999999953
altura_dossel,FOD - FOM,DOF–MOF,FDR,0.26457980891767174,0.788,S0_no_qc,0.26611181635441605,0.7695,-0.0015320074367443093,0.018500000000000072
cover,FED - FES,SDF–SSdF,Bonferroni,0.06835571553268481,0.01,S0_no_qc,0.06454768387932068,0.007,0.00380803165336413,0.003
cover,FED - FES,SDF–SSdF,FDR,0.06835571553268481,0.06,S0_no_qc,0.06454768387932068,0.0265,0.00380803165336413,0.0335
cover,FED - FOD,SDF–DOF,Bonferroni,0.3587349237490779,0.876,S0_no_qc,0.3374102638950317,0.858,0.02132465985404619,0.018000000000000016
cover,FED - FOD,SDF–DOF,FDR,0.3587349237490779,0.944,S0_no_qc,0.3374102638950317,0.9245,0.02132465985404619,0.019499999999999962
cover,FED - FOM,SDF–MOF,Bonferroni,0.059844611084130556,0.006,S0_no_qc,0.05510971467877704,0.002,0.004734896405353517,0.004
cover,FED - FOM,SDF–MOF,FDR,0.059844611084130556,0.018,S0_no_qc,0.05510971467877704,0.0125,0.004734896405353517,0.005499999999999998
cover,FES - FOD,SSdF–DOF,Bonferroni,0.39869678457991975,0.936,S0_no_qc,0.36000512408941904,0.8545,0.03869166049050071,0.08150000000000002
cover,FES - FOD,SSdF–DOF,FDR,0.39869678457991975,0.96,S0_no_qc,0.36000512408941904,0.9135,0.03869166049050071,0.046499999999999986
cover,FES - FOM,SSdF–MOF,Bonferroni,0.07154728548738679,0.034,S0_no_qc,0.06537382049126629,0.01,0.006173464996120495,0.024
cover,FES - FOM,SSdF–MOF,FDR,0.07154728548738679,0.094,S0_no_qc,0.06537382049126629,0.035,0.006173464996120495,0.059
cover,FOD - FOM,DOF–MOF,Bonferroni,0.3350641759746803,0.844,S0_no_qc,0.34746712205711616,0.853,-0.012402946082435862,-0.009000000000000008
cover,FOD - FOM,DOF–MOF,FDR,0.3350641759746803,0.912,S0_no_qc,0.34746712205711616,0.9155,-0.012402946082435862,-0.0034999999999999476
fhd_normal,FED - FES,SDF–SSdF,Bonferroni,0.47875591849289223,0.992,S0_no_qc,0.4651951274883024,0.9925,0.013560791004589845,-5.00000000000056e-4
fhd_normal,FED - FES,SDF–SSdF,FDR,0.47875591849289223,0.994,S0_no_qc,0.4651951274883024,0.9965,0.013560791004589845,-0.0025000000000000577
fhd_normal,FED - FOD,SDF–DOF,Bonferroni,0.07899529644896075,0.032,S0_no_qc,0.09623569887374943,0.0485,-0.01724040242478868,-0.0165
fhd_normal,FED - FOD,SDF–DOF,FDR,0.07899529644896075,0.096,S0_no_qc,0.09623569887374943,0.14,-0.01724040242478868,-0.04400000000000001
fhd_normal,FED - FOM,SDF–MOF,Bonferroni,0.34344066059423983,0.91,S0_no_qc,0.3624153093992066,0.926,-0.018974648804966743,-0.016000000000000014
fhd_normal,FED - FOM,SDF–MOF,FDR,0.34344066059423983,0.97,S0_no_qc,0.3624153093992066,0.978,-0.018974648804966743,-0.008000000000000007
fhd_normal,FES - FOD,SSdF–DOF,Bonferroni,0.40368448414749136,0.93,S0_no_qc,0.3753672967455416,0.9025,0.028317187401949773,0.02750000000000008
