variavel,comparacao,comparacao_en,ajuste,r_median,prop_sig,scenario
agbd,FED - FES,SDF–SSdF,Bonferroni,0.41312489241078765,0.964,S0_no_qc
agbd,FED - FES,SDF–SSdF,FDR,0.41312489241078765,0.988,S0_no_qc
agbd,FED - FOD,SDF–DOF,Bonferroni,0.06436606554118775,0.008,S0_no_qc
agbd,FED - FOD,SDF–DOF,FDR,0.06436606554118775,0.03,S0_no_qc
agbd,FED - FOM,SDF–MOF,Bonferroni,0.33805346195398733,0.872,S0_no_qc
agbd,FED - FOM,SDF–MOF,FDR,0.33805346195398733,0.956,S0_no_qc
agbd,FES - FOD,SSdF–DOF,Bonferroni,0.44504295913292047,0.976,S0_no_qc
agbd,FES - FOD,SSdF–DOF,FDR,0.44504295913292047,0.994,S0_no_qc
agbd,FES - FOM,SSdF–MOF,Bonferroni,0.08763869770294244,0.028,S0_no_qc
agbd,FES - FOM,SSdF–MOF,FDR,0.08763869770294244,0.092,S0_no_qc
agbd,FOD - FOM,DOF–MOF,Bonferroni,0.36252576759817723,0.916,S0_no_qc
agbd,FOD - FOM,DOF–MOF,FDR,0.36252576759817723,0.968,S0_no_qc
altura_dossel,FED - FES,SDF–SSdF,Bonferroni,0.4849427958174988,0.994,S0_no_qc
altura_dossel,FED - FES,SDF–SSdF,FDR,0.4849427958174988,0.998,S0_no_qc
altura_dossel,FED - FOD,SDF–DOF,Bonferroni,0.09209372928622123,0.066,S0_no_qc
altura_dossel,FED - FOD,SDF–DOF,FDR,0.09209372928622123,0.132,S0_no_qc
altura_dossel,FED - FOM,SDF–MOF,Bonferroni,0.3522843854447822,0.924,S0_no_qc
altura_dossel,FED - FOM,SDF–MOF,FDR,0.3522843854447822,0.974,S0_no_qc
altura_dossel,FES - FOD,SSdF–DOF,Bonferroni,0.39736751377968094,0.914,S0_no_qc
altura_dossel,FES - FOD,SSdF–DOF,FDR,0.39736751377968094,0.968,S0_no_qc
altura_dossel,FES - FOM,SSdF–MOF,Bonferroni,0.13079368880723188,0.066,S0_no_qc
altura_dossel,FES - FOM,SSdF–MOF,FDR,0.13079368880723188,0.22,S0_no_qc
altura_dossel,FOD - FOM,DOF–MOF,Bonferroni,0.26457980891767174,0.58,S0_no_qc
altura_dossel,FOD - FOM,DOF–MOF,FDR,0.26457980891767174,0.788,S0_no_qc
cover,FED - FES,SDF–SSdF,Bonferroni,0.06835571553268481,0.01,S0_no_qc
cover,FED - FES,SDF–SSdF,FDR,0.06835571553268481,0.06,S0_no_qc
cover,FED - FOD,SDF–DOF,Bonferroni,0.3587349237490779,0.876,S0_no_qc
cover,FED - FOD,SDF–DOF,FDR,0.3587349237490779,0.944,S0_no_qc
cover,FED - FOM,SDF–MOF,Bonferroni,0.059844611084130556,0.006,S0_no_qc
cover,FED - FOM,SDF–MOF,FDR,0.059844611084130556,0.018,S0_no_qc
cover,FES - FOD,SSdF–DOF,Bonferroni,0.39869678457991975,0.936,S0_no_qc
cover,FES - FOD,SSdF–DOF,FDR,0.39869678457991975,0.96,S0_no_qc
cover,FES - FOM,SSdF–MOF,Bonferroni,0.07154728548738679,0.034,S0_no_qc
cover,FES - FOM,SSdF–MOF,FDR,0.07154728548738679,0.094,S0_no_qc
cover,FOD - FOM,DOF–MOF,Bonferroni,0.3350641759746803,0.844,S0_no_qc
cover,FOD - FOM,DOF–MOF,FDR,0.3350641759746803,0.912,S0_no_qc
fhd_normal,FED - FES,SDF–SSdF,Bonferroni,0.47875591849289223,0.992,S0_no_qc
fhd_normal,FED - FES,SDF–SSdF,FDR,0.47875591849289223,0.994,S0_no_qc
fhd_normal,FED - FOD,SDF–DOF,Bonferroni,0.07899529644896075,0.032,S0_no_qc
fhd_normal,FED - FOD,SDF–DOF,FDR,0.07899529644896075,0.096,S0_no_qc
fhd_normal,FED - FOM,SDF–MOF,Bonferroni,0.34344066059423983,0.91,S0_no_qc
fhd_normal,FED - FOM,SDF–MOF,FDR,0.34344066059423983,0.97,S0_no_qc
fhd_normal,FES - FOD,SSdF–DOF,Bonferroni,0.40368448414749136,0.93,S0_no_qc
fhd_normal,FES - FOD,SSdF–DOF,FDR,0.40368448414749136,0.976,S0_no_qc
fhd_normal,FES - FOM,SSdF–MOF,Bonferroni,0.13026186980245308,0.08,S0_no_qc
fhd_normal,FES - FOM,SSdF–MOF,FDR,0.13026186980245308,0.198,S0_no_qc
fhd_normal,FOD - FOM,DOF–MOF,Bonferroni,0.27614826958428895,0.64,S0_no_qc
fhd_normal,FOD - FOM,DOF–MOF,FDR,0.27614826958428895,0.816,S0_no_qc
pai,FED - FES,SDF–SSdF,Bonferroni,0.06802309040892122,0.008,S0_no_qc
pai,FED - FES,SDF–SSdF,FDR,0.06802309040892122,0.058,S0_no_qc
pai,FED - FOD,SDF–DOF,Bonferroni,0.3620601705265134,0.88,S0_no_qc
pai,FED - FOD,SDF–DOF,FDR,0.3620601705265134,0.95,S0_no_qc
pai,FED - FOM,SDF–MOF,Bonferroni,0.05937888969217143,0.006,S0_no_qc
pai,FED - FOM,SDF–MOF,FDR,0.05937888969217143,0.022,S0_no_qc
pai,FES - FOD,SSdF–DOF,Bonferroni,0.40215512446564494,0.936,S0_no_qc
pai,FES - FOD,SSdF–DOF,FDR,0.40215512446564494,0.96,S0_no_qc
pai,FES - FOM,SSdF–MOF,Bonferroni,0.07241172253385873,0.036,S0_no_qc
pai,FES - FOM,SSdF–MOF,FDR,0.07241172253385873,0.102,S0_no_qc
pai,FOD - FOM,DOF–MOF,Bonferroni,0.33353489635055966,0.828,S0_no_qc
pai,FOD - FOM,DOF–MOF,FDR,0.33353489635055966,0.91,S0_no_qc
agbd,FED - FES,SDF–SSdF,Bonferroni,0.42138406180621046,0.975,S1_baseline
