variavel,comparacao,comparacao_en,ajuste,z,N_ref,r,p_adj,p_unadj,scenario
altura_dossel,FED - FES,SDF–SSdF,Bonferroni,5.489693297994281,151,0.4467449048101129,2.415793613509947e-7,4.0263226891832454e-8,S0_no_qc
altura_dossel,FED - FOD,SDF–DOF,Bonferroni,1.062987656303183,193,0.0765155257858471,1,0.2877875491518239,S0_no_qc
altura_dossel,FES - FOD,SSdF–DOF,Bonferroni,-5.6202991804467635,230,0.37059155342289407,1.1437623407303673e-7,1.9062705678839457e-8,S0_no_qc
altura_dossel,FED - FOM,SDF–MOF,Bonferroni,3.601669883969753,117,0.33297449856275335,0.0018970782071272272,3.161797011878712e-4,S0_no_qc
altura_dossel,FES - FOM,SSdF–MOF,Bonferroni,-1.5457108009693115,154,0.12455692591631352,0.7330465652890275,0.12217442754817123,S0_no_qc
altura_dossel,FOD - FOM,DOF–MOF,Bonferroni,3.216116907453746,196,0.22972263624669614,0.0077962732535577835,0.001299378875592964,S0_no_qc
altura_dossel,FED - FES,SDF–SSdF,FDR,5.489693297994281,151,0.4467449048101129,1.2078968067549736e-7,4.0263226891832454e-8,S0_no_qc
altura_dossel,FED - FOD,SDF–DOF,FDR,1.062987656303183,193,0.0765155257858471,0.2877875491518239,0.2877875491518239,S0_no_qc
altura_dossel,FES - FOD,SSdF–DOF,FDR,-5.6202991804467635,230,0.37059155342289407,1.1437623407303673e-7,1.9062705678839457e-8,S0_no_qc
altura_dossel,FED - FOM,SDF–MOF,FDR,3.601669883969753,117,0.33297449856275335,6.323594023757424e-4,3.161797011878712e-4,S0_no_qc
altura_dossel,FES - FOM,SSdF–MOF,FDR,-1.5457108009693115,154,0.12455692591631352,0.14660931305780547,0.12217442754817123,S0_no_qc
altura_dossel,FOD - FOM,DOF–MOF,FDR,3.216116907453746,196,0.22972263624669614,0.0019490683133894459,0.001299378875592964,S0_no_qc
agbd,FED - FES,SDF–SSdF,Bonferroni,4.783047867251207,151,0.38923891521190407,1.0359419322410433e-5,1.7265698870684054e-6,S0_no_qc
agbd,FED - FOD,SDF–DOF,Bonferroni,-0.28549812610562564,193,0.02055060479800664,1,0.7752625398439742,S0_no_qc
agbd,FES - FOD,SSdF–DOF,Bonferroni,-6.322188370830415,230,0.41687275608554986,1.5473084031695142e-9,2.578847338615857e-10,S0_no_qc
agbd,FED - FOM,SDF–MOF,Bonferroni,3.5611060662641796,117,0.32922437228926565,0.0022157751299128068,3.692958549854678e-4,S0_no_qc
agbd,FES - FOM,SSdF–MOF,Bonferroni,-0.8732087285681817,154,0.07036516458676459,1,0.3825493180892694,S0_no_qc
agbd,FOD - FOM,DOF–MOF,Bonferroni,4.540595083679796,196,0.3243282202628426,3.3657404043223344e-5,5.609567340537224e-6,S0_no_qc
agbd,FED - FES,SDF–SSdF,FDR,4.783047867251207,151,0.38923891521190407,5.1797096612052165e-6,1.7265698870684054e-6,S0_no_qc
agbd,FED - FOD,SDF–DOF,FDR,-0.28549812610562564,193,0.02055060479800664,0.7752625398439742,0.7752625398439742,S0_no_qc
agbd,FES - FOD,SSdF–DOF,FDR,-6.322188370830415,230,0.41687275608554986,1.5473084031695142e-9,2.578847338615857e-10,S0_no_qc
agbd,FED - FOM,SDF–MOF,FDR,3.5611060662641796,117,0.32922437228926565,5.539437824782017e-4,3.692958549854678e-4,S0_no_qc
