metric_1,metric_2,spearman_rho,abs_spearman_rho,collinearity_flag
AGBD,COVER,0.6348933858375666,0.6348933858375666,not_flagged
AGBD,FHD,0.9091735563098302,0.9091735563098302,high_collinearity_abs_rho_ge_0.80
AGBD,H,0.9074255151314159,0.9074255151314159,high_collinearity_abs_rho_ge_0.80
AGBD,PAI,0.6352074752684572,0.6352074752684572,not_flagged
COVER,FHD,0.5532988314943202,0.5532988314943202,not_flagged
COVER,H,0.5432893683127562,0.5432893683127562,not_flagged
COVER,PAI,0.9989953338070174,0.9989953338070174,high_collinearity_abs_rho_ge_0.80
FHD,H,0.9810076390929445,0.9810076390929445,high_collinearity_abs_rho_ge_0.80
FHD,PAI,0.5530306405189466,0.5530306405189466,not_flagged
H,PAI,0.5438143506471008,0.5438143506471008,not_flagged
