metric_1,metric_2,baseline_rho,median_rho_across_scenarios,min_rho_across_scenarios,max_rho_across_scenarios,n_scenarios
AGBD,COVER,0.6348933858375666,0.6348933858375666,0.4394476239617379,0.6745598107644384,9
AGBD,FHD,0.9091735563098302,0.9091735563098302,0.8329590875237647,0.9140804911914714,9
AGBD,H,0.9074255151314159,0.9074255151314159,0.860750067550961,0.9177723903553746,9
AGBD,PAI,0.6352074752684572,0.6352074752684572,0.43993063241438585,0.6744190788782118,9
COVER,FHD,0.5532988314943202,0.5532988314943202,0.3943669669211709,0.6196477748806141,9
COVER,H,0.5432893683127562,0.5432893683127562,0.38499834366570446,0.6009302821903756,9
COVER,PAI,0.9989953338070174,0.9988761553657047,0.9932574051481665,0.9989953338070174,9
FHD,H,0.9810076390929445,0.979554487991479,0.9586174933187229,0.9834473453083723,9
FHD,PAI,0.5530306405189466,0.5530306405189466,0.39341087268291713,0.614694723581285,9
H,PAI,0.5438143506471008,0.5438143506471008,0.3876677133885241,0.596082237131222,9
