scenario,metric,metric_label,median_global_p,median_epsilon_squared,baseline_epsilon_squared,delta_epsilon_squared
S0_no_qc,H,"Canopy height (H, m)",7.093243156394177e-8,0.14781853668878417,0.1485315097965748,-7.129731077906432e-4
S0_no_qc,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",5.19385028115921e-8,0.1506757468812326,0.15115329977542818,-4.7755289419559865e-4
S0_no_qc,PAI,"Plant area index (PAI, m^2 m^-2)",1.1806464460726625e-5,0.10070179580578362,0.0873491584396828,0.013352637366100817
S0_no_qc,COVER,"Canopy cover (COVER, %)",1.3414331820902936e-5,0.09951929085579353,0.08728501119974208,0.01223427965605145
S0_no_qc,FHD,Foliage height diversity (FHD),7.391976975063141e-8,0.14744272932935004,0.14180902993047045,0.005633699398879588
S1_baseline,H,"Canopy height (H, m)",8.763656063176423e-8,0.1485315097965748,0.1485315097965748,0
S1_baseline,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",6.618186652099477e-8,0.15115329977542818,0.15115329977542818,0
S1_baseline,PAI,"Plant area index (PAI, m^2 m^-2)",5.879484094749371e-5,0.0873491584396828,0.0873491584396828,0
S1_baseline,COVER,"Canopy cover (COVER, %)",5.9193179689625905e-5,0.08728501119974208,0.08728501119974208,0
S1_baseline,FHD,Foliage height diversity (FHD),1.7994022639907037e-7,0.14180902993047045,0.14180902993047045,0
S_agbd_low_uncert,H,"Canopy height (H, m)",2.978651732151702e-7,0.1396360756816495,0.1485315097965748,-0.008895434114925299
S_agbd_low_uncert,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",1.345586542017216e-8,0.16908232394794917,0.15115329977542818,0.017929024172520985
S_agbd_low_uncert,PAI,"Plant area index (PAI, m^2 m^-2)",8.1461380077198e-5,0.08581870803417263,0.0873491584396828,-0.0015304504055101698
S_agbd_low_uncert,COVER,"Canopy cover (COVER, %)",8.55575219375777e-5,0.08534100741951378,0.08728501119974208,-0.0019440037802282983
S_agbd_low_uncert,FHD,Foliage height diversity (FHD),7.320288901670246e-7,0.131056756868652,0.14180902993047045,-0.010752273061818446
S_night_only,H,"Canopy height (H, m)",1.791774745273293e-7,0.14720416940003883,0.1485315097965748,-0.001327340396535981
S_night_only,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",1.8546092626651738e-6,0.12448178106793396,0.15115329977542818,-0.02667151870749422
S_night_only,PAI,"Plant area index (PAI, m^2 m^-2)",4.1290513085170716e-4,0.07138274419785513,0.0873491584396828,-0.015966414241827667
S_night_only,COVER,"Canopy cover (COVER, %)",4.413136457438001e-4,0.07072171264942392,0.08728501119974208,-0.016563298550318156
S_night_only,FHD,Foliage height diversity (FHD),2.909953737988537e-7,0.14249482153830706,0.14180902993047045,6.857916078366055e-4
S_sens080,H,"Canopy height (H, m)",8.478477119401838e-8,0.14884047273039022,0.1485315097965748,3.0896293381540985e-4
S_sens080,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",3.488350456703616e-8,0.157131950275806,0.15115329977542818,0.0059786505003778245
S_sens080,PAI,"Plant area index (PAI, m^2 m^-2)",3.855823570969042e-5,0.0913476843432869,0.0873491584396828,0.003998525903604097
S_sens080,COVER,"Canopy cover (COVER, %)",3.919313434273673e-5,0.09120144857898788,0.08728501119974208,0.003916437379245796
S_sens080,FHD,Foliage height diversity (FHD),1.382340418248946e-7,0.144277413660832,0.14180902993047045,0.0024683837303615397
S_sens090,H,"Canopy height (H, m)",8.478477119401838e-8,0.14884047273039022,0.1485315097965748,3.0896293381540985e-4
S_sens090,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",3.488350456703616e-8,0.157131950275806,0.15115329977542818,0.0059786505003778245
S_sens090,PAI,"Plant area index (PAI, m^2 m^-2)",3.855823570969042e-5,0.0913476843432869,0.0873491584396828,0.003998525903604097
S_sens090,COVER,"Canopy cover (COVER, %)",3.919313434273673e-5,0.09120144857898788,0.08728501119974208,0.003916437379245796
S_sens090,FHD,Foliage height diversity (FHD),1.382340418248946e-7,0.144277413660832,0.14180902993047045,0.0024683837303615397
S_sens095,H,"Canopy height (H, m)",3.95332885373631e-8,0.1559616913069588,0.1485315097965748,0.007430181510383993
