scenario,metric,metric_label,comparison,adjustment,median_r,proportion_significant
S0_no_qc,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",DOF–MOF,Bonferroni,0.36252576759817723,0.916
S1_baseline,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",DOF–MOF,Bonferroni,0.36055607824965663,0.8885
S_agbd_low_uncert,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",DOF–MOF,Bonferroni,0.35941586644310874,0.888
S_night_only,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",DOF–MOF,Bonferroni,0.3112050081649978,0.738
S_sens080,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",DOF–MOF,Bonferroni,0.3662735764243248,0.904
S_sens090,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",DOF–MOF,Bonferroni,0.3662735764243248,0.904
S_sens095,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",DOF–MOF,Bonferroni,0.39134739119719814,0.936
S_sens099,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",DOF–MOF,Bonferroni,0.380019909437474,0.82
S_strong_beams,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",DOF–MOF,Bonferroni,0.4184871211274176,0.978
S0_no_qc,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–DOF,Bonferroni,0.06436606554118775,0.008
S1_baseline,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–DOF,Bonferroni,0.06275617077408308,0.001
S_agbd_low_uncert,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–DOF,Bonferroni,0.06619880827214211,0.008
S_night_only,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–DOF,Bonferroni,0.06067035996389421,0.002
S_sens080,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–DOF,Bonferroni,0.06723394164533815,0.002
S_sens090,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–DOF,Bonferroni,0.06723394164533815,0.002
S_sens095,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–DOF,Bonferroni,0.06606336031748795,0.004
S_sens099,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–DOF,Bonferroni,0.07676061382103587,0.008
S_strong_beams,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–DOF,Bonferroni,0.05887130302528592,0.004
S0_no_qc,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–MOF,Bonferroni,0.33805346195398733,0.872
S1_baseline,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–MOF,Bonferroni,0.37033723321213174,0.9425
S_agbd_low_uncert,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–MOF,Bonferroni,0.3842693037189351,0.946
S_night_only,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–MOF,Bonferroni,0.3036475273875236,0.732
S_sens080,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–MOF,Bonferroni,0.3673101701793352,0.936
S_sens090,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–MOF,Bonferroni,0.3673101701793352,0.936
S_sens095,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–MOF,Bonferroni,0.362002566168496,0.936
S_sens099,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–MOF,Bonferroni,0.41995192786701874,0.886
S_strong_beams,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–MOF,Bonferroni,0.4267977597572642,0.984
S0_no_qc,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–SSdF,Bonferroni,0.41312489241078765,0.964
S1_baseline,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–SSdF,Bonferroni,0.42138406180621046,0.975
S_agbd_low_uncert,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–SSdF,Bonferroni,0.45575135798849253,0.984
S_night_only,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–SSdF,Bonferroni,0.3904694928618122,0.968
S_sens080,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–SSdF,Bonferroni,0.421035578995979,0.978
S_sens090,AGBD,"Aboveground biomass density (AGBD, Mg ha^-1)",SDF–SSdF,Bonferroni,0.421035578995979,0.978
