np,dist,gamma,dir.hor,dir.ver,id,variavel
1442,37558.090922353054,7.998162507849677,0,0,var1,altura_dossel
1551,112747.42638758819,5.76843706960273,0,0,var1,altura_dossel
1633,182916.6048094406,5.734214971889699,0,0,var1,altura_dossel
1831,259442.50281170575,6.267137843483745,0,0,var1,altura_dossel
1882,334289.7778377189,7.264150404512421,0,0,var1,altura_dossel
2193,408935.6679509509,6.73828812797793,0,0,var1,altura_dossel
2008,483104.58822204464,5.682389368292571,0,0,var1,altura_dossel
2009,557437.3775908409,6.09575248378735,0,0,var1,altura_dossel
1821,632053.3341664213,9.029250192070528,0,0,var1,altura_dossel
1641,702875.0937234156,7.830341970378746,0,0,var1,altura_dossel
1363,779920.8566746076,6.5855335221834075,0,0,var1,altura_dossel
1328,852856.3493941771,5.384055717169036,0,0,var1,altura_dossel
983,926235.3649724196,5.250182713254654,0,0,var1,altura_dossel
1234,1004677.3609044799,8.961942356970868,0,0,var1,altura_dossel
1377,1075956.8412304302,8.77186132273727,0,0,var1,altura_dossel
1442,37558.090922353054,2148.7138593966997,0,0,var1,agbd
1551,112747.42638758819,1631.034485883132,0,0,var1,agbd
1633,182916.6048094406,1173.6713475751542,0,0,var1,agbd
1831,259442.50281170575,1323.454587746178,0,0,var1,agbd
1882,334289.7778377189,1820.6060853589277,0,0,var1,agbd
2193,408935.6679509509,1728.3020841760533,0,0,var1,agbd
2008,483104.58822204464,1211.5703749940733,0,0,var1,agbd
2009,557437.3775908409,1332.3491153180894,0,0,var1,agbd
1821,632053.3341664213,1705.0942778931333,0,0,var1,agbd
1641,702875.0937234156,1367.6174641068849,0,0,var1,agbd
1363,779920.8566746076,1248.232747398973,0,0,var1,agbd
1328,852856.3493941771,1331.4429856541658,0,0,var1,agbd
983,926235.3649724196,1117.2953603949563,0,0,var1,agbd
1234,1004677.3609044799,1801.7168882311069,0,0,var1,agbd
1377,1075956.8412304302,1925.309967075097,0,0,var1,agbd
1442,37558.090922353054,0.46869627550774245,0,0,var1,pai
1551,112747.42638758819,0.40012287500880467,0,0,var1,pai
1633,182916.6048094406,0.33519948405422834,0,0,var1,pai
1831,259442.50281170575,0.3865890058173673,0,0,var1,pai
1882,334289.7778377189,0.5523296716585633,0,0,var1,pai
2193,408935.6679509509,0.3817539760239487,0,0,var1,pai
2008,483104.58822204464,0.36626889759600245,0,0,var1,pai
2009,557437.3775908409,0.4166599360893172,0,0,var1,pai
1821,632053.3341664213,0.550746070662328,0,0,var1,pai
1641,702875.0937234156,0.4821237124100189,0,0,var1,pai
1363,779920.8566746076,0.4573342488665984,0,0,var1,pai
1328,852856.3493941771,0.38580552712704935,0,0,var1,pai
983,926235.3649724196,0.405788116976644,0,0,var1,pai
1234,1004677.3609044799,0.598719062357283,0,0,var1,pai
1377,1075956.8412304302,0.5674665623256887,0,0,var1,pai
1442,37558.090922353054,133.16858785506804,0,0,var1,cover
1551,112747.42638758819,108.37565927319646,0,0,var1,cover
1633,182916.6048094406,94.16308266617362,0,0,var1,cover
1831,259442.50281170575,105.34099821372001,0,0,var1,cover
1882,334289.7778377189,150.24679997958606,0,0,var1,cover
2193,408935.6679509509,101.05493774816452,0,0,var1,cover
2008,483104.58822204464,103.43601299496268,0,0,var1,cover
2009,557437.3775908409,121.15203071141072,0,0,var1,cover
1821,632053.3341664213,171.29469640581794,0,0,var1,cover
1641,702875.0937234156,133.21662240643968,0,0,var1,cover
1363,779920.8566746076,124.0344733790731,0,0,var1,cover
1328,852856.3493941771,91.06137069369498,0,0,var1,cover
983,926235.3649724196,94.01779480230682,0,0,var1,cover
1234,1004677.3609044799,172.14692687145322,0,0,var1,cover
1377,1075956.8412304302,150.41987424915058,0,0,var1,cover
1442,37558.090922353054,0.020432005623945083,0,0,var1,fhd_normal
1551,112747.42638758819,0.010913233428586964,0,0,var1,fhd_normal
1633,182916.6048094406,0.013014562196261034,0,0,var1,fhd_normal
1831,259442.50281170575,0.012024129906195287,0,0,var1,fhd_normal
1882,334289.7778377189,0.014659310668973125,0,0,var1,fhd_normal
2193,408935.6679509509,0.013494375699851995,0,0,var1,fhd_normal
2008,483104.58822204464,0.013681060536308173,0,0,var1,fhd_normal
2009,557437.3775908409,0.011450058857221652,0,0,var1,fhd_normal
1821,632053.3341664213,0.031055073567556147,0,0,var1,fhd_normal
1641,702875.0937234156,0.021279032893270086,0,0,var1,fhd_normal
1363,779920.8566746076,0.012745223393671665,0,0,var1,fhd_normal
1328,852856.3493941771,0.006118193731776339,0,0,var1,fhd_normal
983,926235.3649724196,0.005438067266447529,0,0,var1,fhd_normal
1234,1004677.3609044799,0.011255746927738109,0,0,var1,fhd_normal
1377,1075956.8412304302,0.017644214736295082,0,0,var1,fhd_normal
